,index,Region/Country/Area,"Population, density and surface area",Year,Series,Value,Footnotes,Source
6650,6651,740,Suriname,2021,Population aged 0 to 14 years old (percentage),26.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6651,6652,740,Suriname,2021,Population aged 60+ years old (percentage),11.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6652,6653,740,Suriname,2021,Population density,3.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6653,6654,740,Suriname,2021,Surface area (thousand km2),164,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
6654,6655,740,Suriname,2022,Population mid-year estimates (millions),0.62,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6655,6656,740,Suriname,2022,Population mid-year estimates for males (millions),0.31,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6656,6657,740,Suriname,2022,Population mid-year estimates for females (millions),0.31,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6657,6658,740,Suriname,2022,Sex ratio (males per 100 females),99.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6658,6659,740,Suriname,2022,Population aged 0 to 14 years old (percentage),26.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6659,6660,740,Suriname,2022,Population aged 60+ years old (percentage),11.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6660,6661,740,Suriname,2022,Population density,4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6661,6662,752,Sweden,2010,Population mid-year estimates (millions),9.38,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6662,6663,752,Sweden,2010,Population mid-year estimates for males (millions),4.67,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6663,6664,752,Sweden,2010,Population mid-year estimates for females (millions),4.71,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6664,6665,752,Sweden,2010,Sex ratio (males per 100 females),99.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6665,6666,752,Sweden,2010,Population aged 0 to 14 years old (percentage),16.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6666,6667,752,Sweden,2010,Population aged 60+ years old (percentage),24.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6667,6668,752,Sweden,2010,Population density,23,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6668,6669,752,Sweden,2015,Population mid-year estimates (millions),9.85,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6669,6670,752,Sweden,2015,Population mid-year estimates for males (millions),4.93,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6670,6671,752,Sweden,2015,Population mid-year estimates for females (millions),4.92,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6671,6672,752,Sweden,2015,Sex ratio (males per 100 females),100.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6672,6673,752,Sweden,2015,Population aged 0 to 14 years old (percentage),17.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6673,6674,752,Sweden,2015,Population aged 60+ years old (percentage),25.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6674,6675,752,Sweden,2015,Population density,24.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6675,6676,752,Sweden,2021,Population mid-year estimates (millions),10.47,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6676,6677,752,Sweden,2021,Population mid-year estimates for males (millions),5.27,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6677,6678,752,Sweden,2021,Population mid-year estimates for females (millions),5.19,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6678,6679,752,Sweden,2021,Sex ratio (males per 100 females),101.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6679,6680,752,Sweden,2021,Population aged 0 to 14 years old (percentage),17.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6680,6681,752,Sweden,2021,Population aged 60+ years old (percentage),25.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6681,6682,752,Sweden,2021,Population density,25.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6682,6683,752,Sweden,2021,Surface area (thousand km2),439,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
6683,6684,752,Sweden,2022,Population mid-year estimates (millions),10.55,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6684,6685,752,Sweden,2022,Population mid-year estimates for males (millions),5.32,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6685,6686,752,Sweden,2022,Population mid-year estimates for females (millions),5.23,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6686,6687,752,Sweden,2022,Sex ratio (males per 100 females),101.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6687,6688,752,Sweden,2022,Population aged 0 to 14 years old (percentage),17.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6688,6689,752,Sweden,2022,Population aged 60+ years old (percentage),25.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6689,6690,752,Sweden,2022,Population density,25.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6690,6691,756,Switzerland,2010,Population mid-year estimates (millions),7.82,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6691,6692,756,Switzerland,2010,Population mid-year estimates for males (millions),3.85,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6692,6693,756,Switzerland,2010,Population mid-year estimates for females (millions),3.97,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6693,6694,756,Switzerland,2010,Sex ratio (males per 100 females),97,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6694,6695,756,Switzerland,2010,Population aged 0 to 14 years old (percentage),15.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6695,6696,756,Switzerland,2010,Population aged 60+ years old (percentage),22.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6696,6697,756,Switzerland,2010,Population density,195.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6697,6698,756,Switzerland,2015,Population mid-year estimates (millions),8.28,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6698,6699,756,Switzerland,2015,Population mid-year estimates for males (millions),4.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6699,6700,756,Switzerland,2015,Population mid-year estimates for females (millions),4.18,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6700,6701,756,Switzerland,2015,Sex ratio (males per 100 females),97.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6701,6702,756,Switzerland,2015,Population aged 0 to 14 years old (percentage),14.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6702,6703,756,Switzerland,2015,Population aged 60+ years old (percentage),23.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6703,6704,756,Switzerland,2015,Population density,207.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6704,6705,756,Switzerland,2021,Population mid-year estimates (millions),8.69,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6705,6706,756,Switzerland,2021,Population mid-year estimates for males (millions),4.31,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6706,6707,756,Switzerland,2021,Population mid-year estimates for females (millions),4.38,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6707,6708,756,Switzerland,2021,Sex ratio (males per 100 females),98.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6708,6709,756,Switzerland,2021,Population aged 0 to 14 years old (percentage),15.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6709,6710,756,Switzerland,2021,Population aged 60+ years old (percentage),25.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6710,6711,756,Switzerland,2021,Population density,217.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6711,6712,756,Switzerland,2021,Surface area (thousand km2),41,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
6712,6713,756,Switzerland,2022,Population mid-year estimates (millions),8.74,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6713,6714,756,Switzerland,2022,Population mid-year estimates for males (millions),4.34,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6714,6715,756,Switzerland,2022,Population mid-year estimates for females (millions),4.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6715,6716,756,Switzerland,2022,Sex ratio (males per 100 females),98.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6716,6717,756,Switzerland,2022,Population aged 0 to 14 years old (percentage),15,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6717,6718,756,Switzerland,2022,Population aged 60+ years old (percentage),25.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6718,6719,756,Switzerland,2022,Population density,218.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6719,6720,760,Syrian Arab Republic,2010,Population mid-year estimates (millions),22.34,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6720,6721,760,Syrian Arab Republic,2010,Population mid-year estimates for males (millions),11.28,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6721,6722,760,Syrian Arab Republic,2010,Population mid-year estimates for females (millions),11.06,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6722,6723,760,Syrian Arab Republic,2010,Sex ratio (males per 100 females),102,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6723,6724,760,Syrian Arab Republic,2010,Population aged 0 to 14 years old (percentage),36.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6724,6725,760,Syrian Arab Republic,2010,Population aged 60+ years old (percentage),5.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6725,6726,760,Syrian Arab Republic,2010,Population density,121.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6726,6727,760,Syrian Arab Republic,2015,Population mid-year estimates (millions),19.21,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6727,6728,760,Syrian Arab Republic,2015,Population mid-year estimates for males (millions),9.66,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6728,6729,760,Syrian Arab Republic,2015,Population mid-year estimates for females (millions),9.54,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6729,6730,760,Syrian Arab Republic,2015,Sex ratio (males per 100 females),101.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6730,6731,760,Syrian Arab Republic,2015,Population aged 0 to 14 years old (percentage),41.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6731,6732,760,Syrian Arab Republic,2015,Population aged 60+ years old (percentage),6.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6732,6733,760,Syrian Arab Republic,2015,Population density,104.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6733,6734,760,Syrian Arab Republic,2021,Population mid-year estimates (millions),21.32,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6734,6735,760,Syrian Arab Republic,2021,Population mid-year estimates for males (millions),10.68,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6735,6736,760,Syrian Arab Republic,2021,Population mid-year estimates for females (millions),10.64,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6736,6737,760,Syrian Arab Republic,2021,Sex ratio (males per 100 females),100.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6737,6738,760,Syrian Arab Republic,2021,Population aged 0 to 14 years old (percentage),33,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6738,6739,760,Syrian Arab Republic,2021,Population aged 60+ years old (percentage),7.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6739,6740,760,Syrian Arab Republic,2021,Population density,116.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6740,6741,760,Syrian Arab Republic,2021,Surface area (thousand km2),185,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
6741,6742,760,Syrian Arab Republic,2022,Population mid-year estimates (millions),22.13,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6742,6743,760,Syrian Arab Republic,2022,Population mid-year estimates for males (millions),11.08,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6743,6744,760,Syrian Arab Republic,2022,Population mid-year estimates for females (millions),11.05,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6744,6745,760,Syrian Arab Republic,2022,Sex ratio (males per 100 females),100.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6745,6746,760,Syrian Arab Republic,2022,Population aged 0 to 14 years old (percentage),31.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6746,6747,760,Syrian Arab Republic,2022,Population aged 60+ years old (percentage),7.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6747,6748,760,Syrian Arab Republic,2022,Population density,120.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6748,6749,762,Tajikistan,2010,Population mid-year estimates (millions),7.62,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6749,6750,762,Tajikistan,2010,Population mid-year estimates for males (millions),3.81,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6750,6751,762,Tajikistan,2010,Population mid-year estimates for females (millions),3.82,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6751,6752,762,Tajikistan,2010,Sex ratio (males per 100 females),99.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6752,6753,762,Tajikistan,2010,Population aged 0 to 14 years old (percentage),36.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6753,6754,762,Tajikistan,2010,Population aged 60+ years old (percentage),4.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6754,6755,762,Tajikistan,2010,Population density,53.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6755,6756,762,Tajikistan,2015,Population mid-year estimates (millions),8.52,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6756,6757,762,Tajikistan,2015,Population mid-year estimates for males (millions),4.28,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6757,6758,762,Tajikistan,2015,Population mid-year estimates for females (millions),4.24,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6758,6759,762,Tajikistan,2015,Sex ratio (males per 100 females),100.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6759,6760,762,Tajikistan,2015,Population aged 0 to 14 years old (percentage),36.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6760,6761,762,Tajikistan,2015,Population aged 60+ years old (percentage),4.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6761,6762,762,Tajikistan,2015,Population density,59.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6762,6763,762,Tajikistan,2021,Population mid-year estimates (millions),9.75,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6763,6764,762,Tajikistan,2021,Population mid-year estimates for males (millions),4.91,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6764,6765,762,Tajikistan,2021,Population mid-year estimates for females (millions),4.84,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6765,6766,762,Tajikistan,2021,Sex ratio (males per 100 females),101.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6766,6767,762,Tajikistan,2021,Population aged 0 to 14 years old (percentage),36.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6767,6768,762,Tajikistan,2021,Population aged 60+ years old (percentage),5.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6768,6769,762,Tajikistan,2021,Population density,68.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6769,6770,762,Tajikistan,2021,Surface area (thousand km2),141,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
6770,6771,762,Tajikistan,2022,Population mid-year estimates (millions),9.95,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6771,6772,762,Tajikistan,2022,Population mid-year estimates for males (millions),5.01,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6772,6773,762,Tajikistan,2022,Population mid-year estimates for females (millions),4.94,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6773,6774,762,Tajikistan,2022,Sex ratio (males per 100 females),101.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6774,6775,762,Tajikistan,2022,Population aged 0 to 14 years old (percentage),36.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6775,6776,762,Tajikistan,2022,Population aged 60+ years old (percentage),6.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
6776,6777,762,Tajikistan,2022,Population density,69.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6777,6778,764,Thailand,2010,Population mid-year estimates (millions),68.27,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6778,6779,764,Thailand,2010,Population mid-year estimates for males (millions),33.51,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6779,6780,764,Thailand,2010,Population mid-year estimates for females (millions),34.76,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
6780,6781,764,Thailand,2010,Sex ratio (males per 100 females),96.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
